MPG,Cylinder,Displacement,Horsepower,Weight,Acceleration,Model Year,Car Name,Origin_1,Origin_2,Origin_3
0.23936170212765956,8,307.0,130.0,3504.0,12.0,70,chevrolet chevelle malibu,True,False,False
0.15957446808510636,8,350.0,165.0,3693.0,11.5,70,buick skylark 320,True,False,False
0.23936170212765956,8,318.0,150.0,3436.0,11.0,70,plymouth satellite,True,False,False
0.18617021276595744,8,304.0,150.0,3433.0,12.0,70,amc rebel sst,True,False,False
0.2127659574468085,8,302.0,140.0,3449.0,10.5,70,ford torino,True,False,False
0.15957446808510636,8,429.0,198.0,4341.0,10.0,70,ford galaxie 500,True,False,False
0.13297872340425532,8,454.0,220.0,4354.0,9.0,70,chevrolet impala,True,False,False
0.13297872340425532,8,440.0,215.0,4312.0,8.5,70,plymouth fury iii,True,False,False
0.13297872340425532,8,455.0,225.0,4425.0,10.0,70,pontiac catalina,True,False,False
0.15957446808510636,8,390.0,190.0,3850.0,8.5,70,amc ambassador dpl,True,False,False
0.15957446808510636,8,383.0,170.0,3563.0,10.0,70,dodge challenger se,True,False,False
0.13297872340425532,8,340.0,160.0,3609.0,8.0,70,plymouth 'cuda 340,True,False,False
0.15957446808510636,8,400.0,150.0,3761.0,9.5,70,chevrolet monte carlo,True,False,False
0.13297872340425532,8,455.0,225.0,3086.0,10.0,70,buick estate wagon (sw),True,False,False
0.39893617021276595,4,113.0,95.0,2372.0,15.0,70,toyota corona mark ii,False,False,True
0.3457446808510638,6,198.0,95.0,2833.0,15.5,70,plymouth duster,True,False,False
0.23936170212765956,6,199.0,97.0,2774.0,15.5,70,amc hornet,True,False,False
0.3191489361702127,6,200.0,85.0,2587.0,16.0,70,ford maverick,True,False,False
0.4787234042553191,4,97.0,88.0,2130.0,14.5,70,datsun pl510,False,False,True
0.45212765957446804,4,97.0,46.0,1835.0,20.5,70,volkswagen 1131 deluxe sedan,False,True,False
0.425531914893617,4,110.0,87.0,2672.0,17.5,70,peugeot 504,False,True,False
0.39893617021276595,4,107.0,90.0,2430.0,14.5,70,audi 100 ls,False,True,False
0.425531914893617,4,104.0,95.0,2375.0,17.5,70,saab 99e,False,True,False
0.45212765957446804,4,121.0,113.0,2234.0,12.5,70,bmw 2002,False,True,False
0.3191489361702127,6,199.0,90.0,2648.0,15.0,70,amc gremlin,True,False,False
0.026595744680851064,8,360.0,215.0,4615.0,14.0,70,ford f250,True,False,False
0.026595744680851064,8,307.0,200.0,4376.0,15.0,70,chevy c20,True,False,False
0.05319148936170213,8,318.0,210.0,4382.0,13.5,70,dodge d200,True,False,False
0.0,8,304.0,193.0,4732.0,18.5,70,hi 1200d,True,False,False
0.4787234042553191,4,97.0,88.0,2130.0,14.5,71,datsun pl510,False,False,True
0.5053191489361702,4,140.0,90.0,2264.0,15.5,71,chevrolet vega 2300,True,False,False
0.425531914893617,4,113.0,95.0,2228.0,14.0,71,toyota corona,False,False,True
0.425531914893617,4,98.0,104.46938775510205,2046.0,19.0,71,ford pinto,True,False,False
0.26595744680851063,6,232.0,100.0,2634.0,13.0,71,amc gremlin,True,False,False
0.18617021276595744,6,225.0,105.0,3439.0,15.5,71,plymouth satellite custom,True,False,False
0.2127659574468085,6,250.0,100.0,3329.0,15.5,71,chevrolet chevelle malibu,True,False,False
0.26595744680851063,6,250.0,88.0,3302.0,15.5,71,ford torino 500,True,False,False
0.23936170212765956,6,232.0,100.0,3288.0,15.5,71,amc matador,True,False,False
0.13297872340425532,8,350.0,165.0,4209.0,12.0,71,chevrolet impala,True,False,False
0.13297872340425532,8,400.0,175.0,4464.0,11.5,71,pontiac catalina brougham,True,False,False
0.13297872340425532,8,351.0,153.0,4154.0,13.5,71,ford galaxie 500,True,False,False
0.13297872340425532,8,318.0,150.0,4096.0,13.0,71,plymouth fury iii,True,False,False
